I	я
toothbrush	зубная щетка
toothpaste	зубная паста
sink	раковина
shower	душ
bath	ванна
fridge	холодильник
cooker	плита
oven	духовка
washing-machine	стиральная машина
tv	телевизор
radio	радио
computer	компьютер
telephone	телефон
clock	часы
picture	картина / фото
box	коробка
bag	сумка
suitcase	чемодан
trash	мусор
clean	чистый / чистить
dirty	грязный
open	открытый / открывать
close	закрытый / закрывать
rent	аренда / арендовать
address	адрес
street	улица
floor	этаж
stair	ступенька / лестница
balcony	балкон
gate	ворота
fence	забор
yard	двор
heating	отопление
electricity	электричество
light	свет / легкий
dark	темный / темнота
bell	звонок / колокольчик
lock	замок
animal	животное
dog	собака
cat	кошка
bird	птица
horse	лошадь
cow	корова
pig	свинья
sheep	овца
duck	утка
mouse	мышь
elephant	слон
lion	лев
tiger	тигр
bear	медведь
monkey	обезьяна
rabbit	кролик
snake	змея
frog	лягушка
spider	паук
fly	муха / летать
bee	пчела
butterfly	бабочка
pet	домашнее животное
wild	дикий
domestic	домашний (о животных)
tail	хвост
wing	крыло
fur	мех / шерсть
zoo	зоопарк
farm	ферма
fox	лиса
wolf	волк
deer	олень
goat	коза
donkey	осел
parrot	попугай
shark	акула
whale	кит
clothes	одежда
shirt	рубашка
t-shirt	футболка
trousers	брюки / штаны
jeans	джинсы
skirt	юбка
dress	платье
coat	пальто / плащ
jacket	куртка / пиджак
sweater	свитер
suit	костюм
shoes	обувь / туфли
boots	ботинки / сапоги
sneakers	кроссовки
socks	носки
hat	шляпа / шапка
cap	кепка
gloves	перчатки
scarf	шарф
belt	ремень / пояс
tie	галстук / завязывать
pocket	карман
wallet	кошелек
umbrella	зонтик
glasses	очки
ring	кольцо
necklace	ожерелье
shop	магазин
supermarket	супермаркет
market	рынок
price	цена
money	деньги
cash	наличные
credit-card	кредитная карта
cheap	дешевый
expensive	дорогой
buy	покупать
sell	продавать
pay	платить
spend	тратить
cost	стоить / стоимость
sale	распродажа
customer	покупатель / клиент
receipt	чек / квитанция
size	размер
try-on	примерять
fit	подходить по размеру
change	сдача / менять
body	тело
head	голова
face	лицо
hair	волосы
eye	глаз
ear	ухо
nose	нос
mouth	рот
tooth	зуб
teeth	зубы
neck	шея
shoulder	плечо
arm	рука (от плеча до кисти)
hand	рука (кисть)
finger	палец (на руке)
leg	нога (вся)
foot	нога (ступня)
feet	ноги (ступни)
toe	палец (на ноге)
back	спина / назад
heart	сердце
blood	кровь
health	здоровье
healthy	здоровый
sick	больной
ill	больной
pain	боль
headache	головная боль
doctor	врач
nurse	медсестра / медбрат
hospital	больница
medicine	лекарство / медицина
pharmacy	аптека
cold	простуда / холодный
flu	грипп
cough	кашель / кашлять
fever	жар / лихорадка
injury	травма
pill	таблетка
bandage	бинт / повязка
travel	путешествие / путешествовать
trip	поездка
holiday	праздник / отпуск
vacation	отпуск / каникулы
transport	транспорт
car	машина
bus	автобус
train	поезд
plane	самолет
bicycle	велосипед
bike	велосипед / мотоцикл
motorcycle	мотоцикл
boat	лодка
ship	корабль
taxi	такси
station	станция / вокзал
airport	аэропорт
bus-stop	автобусная остановка
ticket	билет
luggage	багаж
passport	паспорт
hotel	отель
room	номер / комната
map	карта
tourist	турист
visit	посещать / визит
flight	полет / рейс
driver	водитель
pilot	пилот
passenger	пассажир
drive	вести машину
ride	ездить верхом / на велосипеде
fly	летать
sail	плыть под парусом
arrive	прибывать
leave	покидать / уходить
return	возвращаться
journey	путешествие (длительное)
seat	место / сиденье
fast	быстрый
slow	медленный
quick	быстрый / скорый
traffic	дорожное движение
road	дорога
highway	шоссе
bridge	мост
gas-station	бензоколонка
parking	парковка
guide	гид / путеводитель
be	быть / являться
have	иметь
do	делать
say	сказать
go	идти / ехать
get	получать / добираться
make	делать / создавать
know	знать
think	думать
take	брать / взять
see	видеть
come	приходить
want	хотеть
use	использовать
find	находить
give	давать
tell	рассказывать / говорить
work	работать / работа
call	звонить / звать
try	пытаться / пробовать
ask	спрашивать / просить
need	нуждаться / нужно
feel	чувствовать
become	становиться
